index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,gain,saturated,monotonic
198,23294,0,23294.0,16969,0,16969.0,0.7284708508628831,0,1
199,23412,0,23412.0,17133,0,17133.0,0.7318042029728344,0,1
200,23529,0,23529.0,17297,0,17297.0,0.7351353648688852,0,1
201,23647,0,23647.0,17463,0,17463.0,0.7384869116589843,0,1
202,23765,0,23765.0,17631,0,17631.0,0.7418893330528088,0,1
203,23882,0,23882.0,17798,0,17798.0,0.7452474667113307,0,1
204,24000,0,24000.0,17968,0,17968.0,0.7486666666666667,0,1
205,24118,0,24118.0,18140,0,18140.0,0.7521353346048595,0,1
206,24235,0,24235.0,18311,0,18311.0,0.7555601402929647,0,1
207,24353,0,24353.0,18484,0,18484.0,0.7590029975773005,0,1
208,24471,0,24471.0,18659,0,18659.0,0.7624943811041641,0,1
209,24588,0,24588.0,18834,0,18834.0,0.7659834065397755,0,1
210,24706,0,24706.0,19011,0,19011.0,0.7694891929086052,0,1
211,24824,0,24824.0,19190,0,19190.0,0.7730422172091524,0,1
212,24941,0,24941.0,19368,0,19368.0,0.776552664287719,0,1
213,25059,0,25059.0,19549,0,19549.0,0.7801189193503332,0,1
214,25176,0,25176.0,19730,0,19730.0,0.7836828725770575,0,1
215,25294,0,25294.0,19914,0,19914.0,0.7873013362852851,0,1
216,25412,0,25412.0,20099,0,20099.0,0.7909255469856761,0,1
217,25529,0,25529.0,20283,0,20283.0,0.7945082063535587,0,1
218,25647,0,25647.0,20471,0,20471.0,0.7981830233555581,0,1
219,25765,0,25765.0,20660,0,20660.0,0.8018629924315932,0,1
220,25882,0,25882.0,20848,0,20848.0,0.8055018932076347,0,1
221,26000,0,26000.0,21040,0,21040.0,0.8092307692307692,0,1
222,26118,0,26118.0,21232,0,21232.0,0.8129259514511065,0,1
223,26235,0,26235.0,21425,0,21425.0,0.8166571374118544,0,1
224,26353,0,26353.0,21620,0,21620.0,0.8203999544643874,0,1
225,26471,0,26471.0,21817,0,21817.0,0.8241849571228892,0,1
226,26588,0,26588.0,22013,0,22013.0,0.8279298931848954,0,1
227,26706,0,26706.0,22212,0,22212.0,0.831723208267805,0,1
228,26824,0,26824.0,22413,0,22413.0,0.8355577095138682,0,1
229,26941,0,26941.0,22613,0,22613.0,0.839352659515237,0,1
230,27059,0,27059.0,22817,0,22817.0,0.8432314571861488,0,1
231,27176,0,27176.0,23020,0,23020.0,0.8470709449514278,0,1
232,27294,0,27294.0,23226,0,23226.0,0.850956254121785,0,1
233,27412,0,27412.0,23434,0,23434.0,0.8548810739821976,0,1
234,27529,0,27529.0,23641,0,23641.0,0.8587671183115987,0,1
235,27647,0,27647.0,23851,0,23851.0,0.8626975802076174,0,1
236,27765,0,27765.0,24063,0,24063.0,0.8666666666666667,0,1
237,27882,0,27882.0,24274,0,24274.0,0.8705975181120437,0,1
238,28000,0,28000.0,24489,0,24489.0,0.8746071428571428,0,1
239,28118,0,28118.0,24704,0,24704.0,0.8785831140194893,0,1
240,28235,0,28235.0,24920,0,24920.0,0.8825925270054896,0,1
241,28353,0,28353.0,25139,0,25139.0,0.8866433887066625,0,1
242,28471,0,28471.0,25359,0,25359.0,0.8906957957219627,0,1
243,28588,0,28588.0,25579,0,25579.0,0.8947460472925703,0,1
244,28706,0,28706.0,25802,0,25802.0,0.8988364801783599,0,1
245,28824,0,28824.0,26026,0,26026.0,0.9029281154593395,0,1
246,28941,0,28941.0,26250,0,26250.0,0.9070177257178398,0,1
247,29059,0,29059.0,26478,0,26478.0,0.9111807013317733,0,1
248,29176,0,29176.0,26705,0,26705.0,0.9153071017274472,0,1
249,29294,0,29294.0,26935,0,26935.0,0.9194715641428279,0,1
250,29412,0,29412.0,27167,0,27167.0,0.9236706106351149,0,1
251,29529,0,29529.0,27398,0,27398.0,0.9278336550509668,0,1
252,29647,0,29647.0,27633,0,27633.0,0.9320673255304078,0,1
253,29765,0,29765.0,27869,0,27869.0,0.9363010246934319,0,1
254,29882,0,29882.0,28105,0,28105.0,0.9405327621979788,0,1
255,30000,0,30000.0,28344,0,28344.0,0.9448,0,1
