profile,profile_label,coef1_re,coef1_im,coef3_re,coef3_im,index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,83,9844,0,9844.0,3938,178,3942.0208015686576,2.58804257292042
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,84,9961,0,9961.0,3984,184,3988.246732588143,2.6443115562643893
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,85,10078,0,10078.0,4031,191,4035.522518831979,2.7128045281341766
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,86,10195,0,10195.0,4078,197,4082.7555645666566,2.7656941180267713
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,87,10312,0,10312.0,4125,204,4130.041283086647,2.8312300734752553
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,88,10430,0,10430.0,4172,211,4177.3322826895155,2.895282264219885
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,89,10547,0,10547.0,4219,219,4224.680106232897,2.971444450749568
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,90,10664,0,10664.0,4266,226,4271.982209700785,3.0325252227230193
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,91,10781,0,10781.0,4312,233,4318.29051824909,3.0929838301906623
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,92,10898,0,10898.0,4359,241,4365.657109760225,3.164542121424276
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,93,11016,0,11016.0,4406,249,4413.030364726715,3.234564183722765
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,94,11133,0,11133.0,4453,257,4460.410070834295,3.3030987592573493
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,95,11250,0,11250.0,4500,265,4507.7960246666,3.370192558136507
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,96,11367,0,11367.0,4547,274,4555.2480722788305,3.448445725053868
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,97,11484,0,11484.0,4594,282,4602.647064461928,3.5126603448845577
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,98,11602,0,11602.0,4641,291,4650.114192146253,3.5878631646347263
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,99,11719,0,11719.0,4688,300,4697.589168924843,3.661546073279747
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,100,11836,0,11836.0,4734,309,4744.073882224011,3.734540929882182
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,101,11953,0,11953.0,4781,318,4791.563940927847,3.805325322681164
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,102,12070,0,12070.0,4828,328,4839.128847220334,3.8865333060710223
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,103,12188,0,12188.0,4875,337,4886.634219992326,3.9544633300188075
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,104,12305,0,12305.0,4922,347,4934.21655382088,4.03266856186809
