profile,profile_label,coef1_re,coef1_im,coef3_re,coef3_im,index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,172,20273,0,20273.0,8109,776,8146.045482318399,5.466339040363552
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,173,20391,0,20391.0,8156,790,8194.170854943164,5.532479326856463
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,174,20508,0,20508.0,8203,803,8242.209533856805,5.590928807540402
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,175,20625,0,20625.0,8250,817,8290.355179363547,5.655578423186908
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,176,20742,0,20742.0,8297,831,8338.511258012428,5.71948139811342
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,177,20859,0,20859.0,8343,845,8385.682679424497,5.783338852286512
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,178,20977,0,20977.0,8391,860,8434.955897928572,5.851855301646008
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,179,21094,0,21094.0,8437,874,8482.148607516849,5.914250263852661
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,180,21211,0,21211.0,8484,889,8530.449988130755,5.981935537094749
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,181,21328,0,21328.0,8531,904,8578.763139287621,6.048858534485799
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,182,21445,0,21445.0,8578,919,8627.087863236355,6.115031881559389
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,183,21562,0,21562.0,8625,934,8675.42396658515,6.180467930571872
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,184,21680,0,21680.0,8672,949,8723.771260183294,6.24517876774446
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,185,21797,0,21797.0,8719,965,8772.239508814155,6.315668149750937
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,186,21914,0,21914.0,8765,980,8819.615921342607,6.3796491725054265
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,187,22031,0,22031.0,8812,996,8868.10915584602,6.4486414879579455
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,188,22148,0,22148.0,8859,1012,8916.61510888521,6.516883271774216
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,189,22266,0,22266.0,8906,1028,8965.13357401885,6.584386514173851
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,190,22383,0,22383.0,8953,1044,9013.664349197834,6.651162955449987
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,191,22500,0,22500.0,9000,1061,9062.324260364998,6.723503107841905
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,192,22617,0,22617.0,9047,1078,9110.998463395765,6.795070439520046
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,193,22734,0,22734.0,9093,1094,9158.574397797945,6.860413814773508
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,194,22852,0,22852.0,9141,1111,9208.268132499183,6.929758114016504
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,195,22969,0,22969.0,9187,1129,9256.112034758438,7.006010210831765
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,196,23086,0,23086.0,9234,1146,9304.84132051697,7.074608173901191
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,197,23203,0,23203.0,9281,1163,9353.583805151906,7.142491291389489
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,198,23320,0,23320.0,9328,1181,9402.464836413907,7.215716009853429
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,199,23438,0,23438.0,9375,1199,9451.361066005256,7.288183195493694
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,200,23555,0,23555.0,9422,1217,9500.272259256573,7.359904314895432
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,201,23672,0,23672.0,9469,1235,9549.198186235324,7.430890609105151
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,202,23789,0,23789.0,9515,1254,9597.277791123897,7.5078513733044225
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,203,23906,0,23906.0,9562,1272,9646.233876492939,7.577373072359062
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,204,24023,0,24023.0,9609,1291,9695.337126681052,7.652049645778755
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,205,24141,0,24141.0,9656,1310,9744.456680595384,7.725973489028542
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,206,24258,0,24258.0,9703,1330,9793.728044008574,7.804951820223936
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,207,24375,0,24375.0,9750,1349,9842.880726697851,7.877373288629356
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,208,24492,0,24492.0,9797,1368,9892.048978851652,7.949074931422579
