index,requested_amplitude,requested_phase_deg,input_i,input_q,input_magnitude,input_phase_deg,output_i,output_q,output_magnitude,output_phase_deg,phase_shift_deg,gain
66,7875,90,0,7875,7875.0,90.0,-1576,3150,3522.254391721302,116.57960063829726,26.579600638297265,0.44727039894873677
67,7875,135,-5568,5568,7874.341115293393,135.0,-3342,1113,3522.4612134131444,161.5804823050413,26.5804823050413,0.4473340895242509
68,7875,180,-7875,0,7875.0,180.0,-3151,-1576,3523.1487337323697,-153.42767593904216,26.57232406095784,0.44738396618823745
69,7875,-135,-5568,-5568,7874.341115293393,-135.0,-1114,-3342,3522.7773134275744,-108.43494882292202,26.565051177077976,0.4473742325673071
70,7875,-90,0,-7875,7875.0,-90.0,1575,-3151,3522.701520140473,-63.442222630108155,26.557777369891845,0.447327177160695
71,7875,-45,5568,-5568,7874.341115293393,-45.0,3341,-1114,3521.8286443266943,-18.4400934560691,26.5599065439309,0.44725375656976135
72,8750,0,8750,0,8750.0,0.0,3500,1750,3913.118960624632,26.56505117707799,26.56505117707799,0.4472135954999579
73,8750,45,6187,6187,8749.73931040234,45.0,1237,3712,3912.6861617052805,71.56968188744641,26.569681887446407,0.44717745556757205
74,8750,90,0,8750,8750.0,90.0,-1751,3500,3913.5662764287,116.57814585848938,26.57814585848938,0.44726471730613715
75,8750,135,-6187,6187,8749.73931040234,135.0,-3713,1237,3913.634883327774,161.57431035274288,26.574310352742884,0.44728588412627956
76,8750,180,-8750,0,8750.0,180.0,-3501,-1751,3914.4606269574356,-153.42840297815295,26.571597021847083,0.4473669287951355
77,8750,-135,-6187,-6187,8749.73931040234,-135.0,-1238,-3713,3913.9510727652178,-108.43957803673703,26.560421963262968,0.4473220211386209
78,8750,-90,0,-8750,8750.0,-90.0,1750,-3501,3914.0134133648544,-63.441495415616686,26.558504584383314,0.4473158186702691
79,8750,-45,6187,-6187,8749.73931040234,-45.0,3712,-1238,3913.002427804,-18.444209495140235,26.555790504859765,0.4472136013414631
80,9625,0,9625,0,9625.0,0.0,3850,1925,4304.430856687095,26.56505117707799,26.56505117707799,0.4472135954999579
81,9625,45,6806,6806,9625.137505511286,45.0,1361,4084,4304.808590402133,71.56926007881971,26.56926007881971,0.44724645107015143
82,9625,90,0,9625,9625.0,90.0,-1926,3850,4304.878163200441,116.57695555661022,26.576955556610216,0.44726006890394193
83,9625,135,-6806,6806,9625.137505511286,135.0,-4085,1361,4305.757308534702,161.5734671258296,26.57346712582961,0.4473450177796687
84,9625,180,-9625,0,9625.0,180.0,-3851,-1926,4305.772520698231,-153.42899786952495,26.57100213047505,0.4473529891634526
85,9625,-135,-6806,-6806,9625.137505511286,-135.0,-1362,-4085,4306.073501462789,-108.43915648829692,26.560843511703084,0.44737786852366124
86,9625,-90,0,-9625,9625.0,-90.0,1925,-3851,4305.325307105144,-63.440900394471505,26.559099605528495,0.44730652541352145
87,9625,-45,6806,-6806,9625.137505511286,-45.0,4084,-1362,4305.124853009492,-18.443366008040403,26.556633991959597,0.4472793090534455
88,10500,0,10500,0,10500.0,0.0,4200,2100,4695.742752749558,26.56505117707799,26.56505117707799,0.4472135954999579
89,10500,45,7425,7425,10500.53570062023,45.0,1485,4455,4695.9823253500435,71.56505117707799,26.56505117707799,0.447213595499958
90,10500,90,0,10500,10500.0,90.0,-2101,4200,4696.190051520488,116.57596361947782,26.575963619477818,0.4472561953829036
91,10500,135,-7425,7425,10500.53570062023,135.0,-4456,1485,4696.931019293343,161.56890869942544,26.568908699425435,0.4473039426946485
92,10500,180,-10500,0,10500.0,180.0,-4201,-2101,4697.084414825861,-153.429493640656,26.570506359343995,0.4473413728405582
93,10500,-135,-7425,-7425,10500.53570062023,-135.0,-1486,-4456,4697.247278992239,-108.4426633481902,26.557336651809806,0.4473340611293564
94,10500,-90,0,-10500,10500.0,-90.0,2100,-4201,4696.637201232388,-63.440404524630246,26.559595475369754,0.44729878106975124
95,10500,-45,7425,-7425,10500.53570062023,-45.0,4455,-1486,4696.298648936202,-18.44652294831432,26.55347705168568,0.44724372001885654
96,11375,0,11375,0,11375.0,0.0,4550,2275,5087.054648812022,26.56505117707799,26.56505117707799,0.4472135954999579
97,11375,45,8043,8043,11374.519682166803,45.0,1608,4826,5086.839883463996,71.5721748596862,26.5721748596862,0.4472135989565558
98,11375,90,0,11375,11375.0,90.0,-2276,4550,5087.501941031571,116.57512427463826,26.575124274638256,0.44725291789288535
99,11375,135,-8043,8043,11374.519682166803,135.0,-4827,1608,5087.788615891977,161.57573470846884,26.575734708468843,0.4472970075271585
100,11375,180,-11375,0,11375.0,180.0,-4551,-2276,5088.3963092510785,-153.42991315941651,26.570086840583485,0.4473315436704245
101,11375,-135,-8043,-8043,11374.519682166803,-135.0,-1609,-4827,5088.104755210922,-108.43494882292202,26.565051177077976,0.4473248011683652
102,11375,-90,0,-11375,11375.0,-90.0,2275,-4551,5087.949095657306,-63.43998492904538,26.56001507095462,0.4472922281896533
103,11375,-45,8043,-8043,11374.519682166803,-45.0,4826,-1609,5087.156081741546,-18.438510442828722,26.561489557171278,0.4472413977811555
104,12250,0,12250,0,12250.0,0.0,4900,2450,5478.366544874485,26.56505117707799,26.56505117707799,0.447213595499958
105,12250,45,8662,8662,12249.91787727575,45.0,1732,5197,5478.01359983708,71.56835867459282,26.568358674592815,0.44718778156048594
106,12250,90,0,12250,12250.0,90.0,-2451,4900,5478.813831478489,116.5744048264134,26.5744048264134,0.44725010869212156
107,12250,135,-8662,8662,12249.91787727575,135.0,-5198,1732,5478.962310510997,161.57166502669804,26.571665026698042,0.44726522784897715
108,12250,180,-12250,0,12250.0,180.0,-4901,-2451,5479.7082039101315,-153.4302727615994,26.56972723840056,0.44732311868654134
109,12250,-135,-8662,-8662,12249.91787727575,-135.0,-1733,-5198,5479.27851089904,-108.4382555568892,26.561744443110797,0.4472910402985961
110,12250,-90,0,-12250,12250.0,-90.0,2450,-4901,5479.260990316121,-63.439625265901604,26.560374734098396,0.4472866114543772
111,12250,-45,8662,-8662,12249.91787727575,-45.0,5197,-1733,5478.329854983177,-18.4415634360897,26.5584365639103,0.4472135984801801
112,13125,0,13125,0,13125.0,0.0,5250,2625,5869.678440936948,26.56505117707799,26.56505117707799,0.447213595499958
113,13125,45,9281,9281,13125.316072384696,45.0,1856,5569,5870.136029088253,71.56813773525596,26.56813773525596,0.447237689112787
114,13125,90,0,13125,13125.0,90.0,-2626,5250,5870.125722674089,116.57378129730802,26.573781297308017,0.447247674108502
115,13125,135,-9281,9281,13125.316072384696,135.0,-5570,1856,5871.084737933868,161.57122329592875,26.571223295928746,0.4473099699508547
116,13125,180,-13125,0,13125.0,180.0,-5251,-2626,5871.020098756263,-153.4305844277817,26.569415572218304,0.44731581704809625
117,13125,-135,-9281,-9281,13125.316072384696,-135.0,-1857,-5570,5871.400940150485,-108.43803471614427,26.561965283855727,0.4473340609681584
118,13125,-90,0,-13125,13125.0,-90.0,2625,-5251,5870.572885162061,-63.43931355053702,26.560686449462978,0.4472817436313951
119,13125,-45,9281,-9281,13125.316072384696,-45.0,5569,-1857,5870.452282405505,-18.441121606728455,26.558878393271545,0.4472617840233787
120,14000,0,14000,0,14000.0,0.0,5600,2800,6260.990336999411,26.56505117707799,26.56505117707799,0.4472135954999579
121,14000,45,9899,9899,13999.300053931267,45.0,1980,5939,6260.3610918221,71.5621570123326,26.562157012332605,0.4471910072435424
122,14000,90,0,14000,14000.0,90.0,-2801,5600,6261.437614478004,116.5732357037723,26.573235703772298,0.447245543891286
123,14000,135,-9899,9899,13999.300053931267,135.0,-5940,1980,6261.309767133391,161.565051177078,26.565051177078004,0.44725877315381185
124,14000,180,-14000,0,14000.0,180.0,-5601,-2801,6262.331993754403,-153.43085714403782,26.569142855962184,0.4473094281253145
125,14000,-135,-9899,-9899,13999.300053931267,-135.0,-1981,-5940,6261.626066765724,-108.44362956314848,26.556370436851523,0.44728136711430383
126,14000,-90,0,-14000,14000.0,-90.0,2800,-5601,6261.884780160044,-63.439040794027264,26.560959205972736,0.44727748429714603
127,14000,-45,9899,-9899,13999.300053931267,-45.0,5939,-1981,6260.677439383057,-18.446524897017067,26.553475102982933,0.4472136046276786
128,14875,0,14875,0,14875.0,0.0,5950,2975,6652.302233061874,26.56505117707799,26.56505117707799,0.4472135954999579
129,14875,45,10518,10518,14874.698249040213,45.0,2103,6311,6652.167315995592,71.57049857956329,26.570498579563292,0.44721359752120154
130,14875,90,0,14875,14875.0,90.0,-2976,5950,6652.749506782891,116.57275429339525,26.57275429339525,0.4472436643215389
131,14875,135,-10518,10518,14874.698249040213,135.0,-6312,2103,6653.116036865733,161.5732211156385,26.57322111563849,0.44727737836934095
132,14875,180,-14875,0,14875.0,180.0,-5951,-2976,6653.643888877733,-153.4310977824981,26.568902217501886,0.44730379084892324
133,14875,-135,-10518,-10518,14874.698249040213,-135.0,-2104,-6312,6653.43219699427,-108.43494882292202,26.565051177077976,0.44729863326293573
134,14875,-90,0,-14875,14875.0,-90.0,2975,-5951,6653.196675283243,-63.43880012220458,26.561199877795417,0.44727372606946175
135,14875,-45,10518,-10518,14874.698249040213,-45.0,6311,-2104,6652.48352121221,-18.437672394698875,26.562327605301125,0.4472348554459893
136,15750,0,15750,0,15750.0,0.0,6300,3150,7043.6141291243375,26.56505117707799,26.56505117707799,0.4472135954999579
137,15750,45,11137,11137,15750.09644414916,45.0,2227,6682,7043.341039591935,71.56762360914708,26.567623609147077,0.44719351812022673
138,15750,90,0,15750,15750.0,90.0,-3151,6300,7044.06139950526,116.57232636966323,26.57232636966323,0.4472419936193816
139,15750,135,-11137,11137,15750.09644414916,135.0,-6683,2227,7044.289744182873,161.57019534832588,26.570195348325882,0.4472537529635054
140,15750,180,-15750,0,15750.0,180.0,-6301,-3151,7044.955784105391,-153.43131168844374,26.56868831155623,0.44729877994319944
